id,tier,source_composer,source_work,source_locus,borrower_composer,borrower_work,borrower_locus,borrowing_type,source_in_corpus,borrower_in_corpus,reference,verify_note
P01,A,Vivaldi,"Concerto op.3 no.9 RV230 (L'estro armonico)",all movements,J.S. Bach,"Concerto BWV 972 (keyboard)",all movements,arrangement,yes (musedata_vivaldi dover/lecene op3),no (encode; Mutopia/MuseScore),"Schulze, Bach-Jahrbuch 1978; NBA V/11",Arrangement literal: control 'facil'. Sirve para fijar el suelo del metodo.
P02,A,Vivaldi,"Concerto op.3 no.12 RV265",all movements,J.S. Bach,"Concerto BWV 976 (keyboard)",all movements,arrangement,yes,no (encode),"Schulze 1978; NBA V/11",
P03,A,Vivaldi,"Concerto op.3 no.3 RV310",all movements,J.S. Bach,"Concerto BWV 978 (keyboard)",all movements,arrangement,yes,no (encode),"Schulze 1978; NBA V/11",
P04,A,Vivaldi,"Concerto op.3 no.8 RV522 (2 violins)",all movements,J.S. Bach,"Concerto BWV 593 (organ)",all movements,arrangement,yes,no (encode; check musedata bg-organ / kern),"Schulze 1978; NBA IV/8",Comprobar si BWV 593 esta ya en musedata_bach bg-organ.
P05,A,Corelli,"Trio sonata op.3 no.4",mvt II (Vivace) fugue subject,J.S. Bach,"Fugue on a theme by Corelli BWV 579 (organ)",whole,thematic borrowing (fugue subject),yes (kern/humdrum-corelli op3/4),no (encode; check musedata bg-organ),"Williams, The Organ Music of J.S. Bach (2003); NBA IV/6",Prestamo de sujeto: mas corto que un arreglo; buen control intermedio.
P06,A,J.C. Bach,"Keyboard sonatas op.5 nos. 2 3 4",all movements,W.A. Mozart,"Piano concertos K.107 nos. 1-3",all movements,arrangement,partial (dcml/jc_bach_sonatas: check which op.5 nos.),no (encode),"NMA X/28/2; Kochel",Confirmar que los op.5 presentes en DCML son los arreglados.
P07,B,W.A. Mozart,"String Quartet K.464 (A major)",mvt III variations; mvt I,Beethoven,"String Quartet op.18 no.5 (A major)",mvt III variations; mvt I,modeling,yes (musedata_mozart; kern quartets),yes (musedata_beethoven; openscore),"Kerman, The Beethoven Quartets (1967) ch.2",AMBAS EN CORPUS. Beethoven copio K.464 a mano. Control central de tipo 'modelado'.
P08,B,Beethoven,"String Quartet op.132",mvt I (opening); mvt III,Mendelssohn,"String Quartet op.13 (A minor)",mvt I; mvt II fugato; mvt IV recitative,modeling / allusion,yes (musedata_beethoven),yes (openscore_quartets),"Todd, Mendelssohn: A Life in Music (2003); Krummacher 1978",AMBAS EN CORPUS. Prestamo documentado con detalle compas a compas.
P09,B,Beethoven,"String Quartet op.95",mvt IV coda; mvt I,Mendelssohn,"String Quartet op.13",mvt IV; mvt I,modeling,yes (musedata_beethoven),yes (openscore_quartets),"Todd 2003",AMBAS EN CORPUS.
P10,B,Beethoven,"String Quartet op.74 (Harp)",mvt I introduction and pizzicato,Mendelssohn,"String Quartet op.12 (E-flat)",mvt I introduction,modeling,yes (musedata_beethoven),yes (openscore_quartets),"Todd 2003",AMBAS EN CORPUS.
P11,B,Handel,"Messiah HWV 56","'And with his stripes' fugue subject",W.A. Mozart,"Requiem K.626",Kyrie fugue (first subject),thematic borrowing,yes (musedata_handel chry-torio-mes),no (encode; MuseScore/Mutopia),"Wolff, Mozart's Requiem (1994)",Sujeto de fuga con parentesco reconocido. Verificar tambien la relacion con el Dettingen Anthem.
P12,B,Handel,"Funeral Anthem HWV 264 ('The ways of Zion do mourn')",opening chorus,W.A. Mozart,"Requiem K.626",Introitus,modeling,no (encode),no (encode),"Wolff 1994",Ambas a codificar: dejar como opcional.
P13,B,Muffat (Gottlieb),"Componimenti musicali (1739)",several suites,Handel,"Concerti grossi op.6 nos. 1 5 (and Ode for St Cecilia's Day)",various movements,borrowing (Burkholder: Handel's borrowings),no (encode; IMSLP),yes (musedata_handel op6),"Roberts, Handel Sources vol. (Garland 1986); Burrows, Handel (2012)",VERIFY numeros de concierto exactos contra Roberts antes de congelar.
P14,C,Clementi,"Piano Sonata op.24 no.2 (B-flat)",mvt I main theme,W.A. Mozart,"Die Zauberflote K.620 overture",fugue subject,thematic borrowing,no (encode),no (encode),"Plantinga, Clementi (1977)",Caso celebre; Clementi lo denuncio en la edicion de 1804. Ambas cortas de codificar.
P15,C,Beethoven,"Piano Sonata op.31 no.1",mvt III (Rondo),Schubert,"Piano Sonata D.959",mvt IV (Rondo),modeling,yes (kern/beethoven-piano-sonatas; dcml),no (encode; check craigsapp),"Rosen, The Classical Style (1971) / 'Schubert's inflections'",Modelado formal y tematico documentado por Rosen.
P16,C,Beethoven,"Piano Sonata op.106 (Hammerklavier)",mvt I opening gesture,Brahms,"Piano Sonata op.1 (C major)",mvt I opening,modeling / allusion,yes (kern/beethoven-piano-sonatas),no (encode; kern? Mutopia),"Musgrave, The Music of Brahms (1985)",
P17,C,Beethoven,"Symphony no.9 op.125",mvt IV 'Freude' theme,Schubert,"Symphony no.9 D.944 (Great)",mvt IV second group,quotation / allusion,yes (musedata_beethoven; s3),no (encode; large),"Brown, Schubert Symphonies; Gingerich 2014",Costoso de codificar; opcional.
P18,C,Beethoven,"Symphony no.9 op.125",mvt IV 'Freude' theme,Brahms,"Symphony no.1 op.68",mvt IV main theme,allusion,yes,no (encode; large),"Brodbeck, Brahms Symphony No.1 (1997)",Opcional; alusion mas que prestamo literal.
X01,EXCLUDED,Cherubini,"Hymne au Pantheon / Eliza overture",,Beethoven,"Symphony no.5 op.67",,case under test,,,"",NO usar como control.
X02,EXCLUDED,Beethoven,"Prometheus op.43 / Contredanse WoO 14",,Beethoven,"Eroica op.55 finale",,self-borrowing,,,"",Autoprestamo: fuera del diseno.
X03,EXCLUDED,Handel,"Italian duets HWV 189 192",,Handel,"Messiah",,self-borrowing,,,"",Autoprestamo.
