composer_id,name,born,died,n_units,sources
abbott_jb,Jane Bingham Abbott,1851,1934,2,openscore_lieder
abrams_h,Harriett Abrams,1758,1821,2,openscore_lieder
andree_e,Elfrida Andrée,1841,1929,1,openscore_quartets
arriaga_jc,Juan Crisóstomo de Arriaga,1806,1826,3,openscore_quartets
bach_cpe,Carl Philipp Emanuel Bach,1714,1788,66,dcml/cpe_bach_keyboard
bach_jc,Johann Christian Bach,1735,1782,29,dcml/jc_bach_sonatas
bach_js,Johann Sebastian Bach,1685,1750,2491,dcml/bach_en_fr_suites;dcml/bach_solo;kern/art-of-the-fugue;kern/bach-370-chorales;kern/bach-musical-offering;kern/bach-wtc;kern/humdrum-bach-brandenburg;m21_bach;musedata_bach
bach_wf,Wilhelm Friedemann Bach,1710,1784,9,dcml/wf_bach_sonatas
bantock_g,Granville Bantock,1868,1946,5,openscore_lieder
barnard_ca,Charlotte Alington Barnard,1830,1869,5,openscore_lieder
barnby_j,Joseph Barnby,1838,1896,2,openscore_lieder
barns_e,Ethel Barns,1874,1948,1,openscore_lieder
bartok_b,Béla Bartók,1881,1945,16,dcml/bartok_bagatelles;openscore_quartets
beach_a,Amy Beach,1867,1944,11,openscore_lieder;openscore_quartets
beau_la,Luise Adolpha Le Beau,1850,1927,7,openscore_lieder
beethoven_l,Ludwig van Beethoven,1770,1827,498,dcml/beethoven_piano_sonatas;dcml_abc;kern/beethoven-piano-sonatas;kern/beethoven-string-quartets;musedata_beethoven;openscore_lieder;openscore_quartets;s3
bianchi_j,Jane Bianchi,1776,1858,1,openscore_lieder
bishop_h,Henry Bishop,1787,1855,2,openscore_lieder
bizet_g,Georges Bizet,1838,1875,26,openscore_lieder
boccherini_l,Luigi Boccherini,1743,1805,1,openscore_quartets
bonis_m,Mélanie Bonis,1858,1937,2,openscore_lieder
borodin_a,Alexander Borodin,1833,1887,2,openscore_quartets
boulanger_l,Lili Boulanger,1893,1918,16,openscore_lieder
brahms_j,Johannes Brahms,1833,1897,113,openscore_lieder;openscore_quartets
bridge_f,Frank Bridge,1879,1941,11,openscore_lieder;openscore_quartets
browne_a,Augusta Browne,1820,1882,3,openscore_lieder
burleigh_ht,Harry T. Burleigh,1866,1949,8,openscore_lieder
busoni_f,Ferruccio Busoni,1866,1924,1,openscore_quartets
butterworth_g,George Butterworth,1885,1916,12,openscore_lieder
carreno_t,Teresa Carreño,1853,1917,1,openscore_quartets
cellier_a,Alfred Cellier,1844,1891,1,openscore_lieder
chabrier_e,Emmanuel Chabrier,1841,1894,3,openscore_lieder
chaminade_c,Cécile Chaminade,1857,1944,31,openscore_lieder
chausson_e,Ernest Chausson,1855,1899,12,openscore_lieder
cherubini_l,Luigi Cherubini,1760,1842,1,openscore_quartets
chopin_f,Frédéric Chopin,1810,1849,132,dcml/chopin_mazurkas;kern/chopin-mazurkas;kern/chopin-preludes
coleridge-taylor_s,Samuel Coleridge-Taylor,1875,1912,8,openscore_lieder
corder_f,Frederick Corder,1852,1932,1,openscore_lieder
corelli_a,Arcangelo Corelli,1653,1713,704,dcml/corelli;kern/humdrum-corelli;musedata_corelli
cornelius_p,Peter Cornelius,1824,1874,33,openscore_lieder
couperin_f,François Couperin,1668,1733,91,dcml/couperin_concerts
cowen_fh,Frederic Hymen Cowen,1852,1935,3,openscore_lieder
cras_j,Jean Cras,1879,1932,1,openscore_quartets
davies_w,Walford Davies,1869,1941,8,openscore_lieder
debussy_c,Claude Debussy,1862,1918,21,dcml/debussy_suite_bergamasque;openscore_lieder;openscore_quartets
delius_f,Frederick Delius,1862,1934,7,openscore_lieder;openscore_quartets
dhardelot_g,Guy d'Hardelot,1858,1936,9,openscore_lieder
dickson_e,Ellen Dickson,1819,1878,4,openscore_lieder
dindy_v,Vincent d’Indy,1851,1931,1,openscore_quartets
dittersdorf_cd,Carl Ditters von Dittersdorf,1739,1799,2,openscore_quartets
duchambge_p,Pauline Duchambge,1776,1858,4,openscore_lieder
dvorak_a,Antonín Dvořák,1841,1904,22,dcml/dvorak_silhouettes;openscore_quartets;s3
elgar_e,Edward Elgar,1857,1934,11,openscore_lieder;openscore_quartets
faisst_cm,Clara Mathilda Faisst,1872,1948,27,openscore_lieder
faltis_e,Evelyn Faltis,1887,1937,4,openscore_lieder
farrenc_l,Louise Farrenc,1804,1875,1,openscore_lieder
faure_g,Gabriel Fauré,1845,1924,13,openscore_lieder;openscore_quartets
ferrari_g,Gabrielle Ferrari,1851,1921,2,openscore_lieder
franck_c,César Franck,1822,1890,1,openscore_quartets
franz_r,Robert Franz,1815,1892,48,openscore_lieder
freer_ee,Eleanor Everest Freer,1864,1942,2,openscore_lieder
frescobaldi_g,Girolamo Frescobaldi,1583,1643,47,dcml/frescobaldi_fiori_musicali
gabriel_v,Virginia Gabriel,1825,1877,4,openscore_lieder
gail_s,Sophie Gail,1775,1819,2,openscore_lieder
gambarini_e,Elisabetta de Gambarini,1730,1765,1,openscore_lieder
german_e,Edward German,1862,1936,3,openscore_lieder
glazunov_a,Alexander Glazunov,1865,1936,1,openscore_quartets
glinka_m,Mikhail Glinka,1804,1857,1,openscore_quartets
gonzaga_c,Chiquinha Gonzaga,1847,1935,12,openscore_lieder
gossec_fj,François Joseph Gossec,1734,1829,1,openscore_quartets
gounod_c,Charles Gounod,1818,1893,7,openscore_lieder;openscore_quartets
gouvy_t,Théodore Gouvy,1819,1898,1,openscore_quartets
