work_id,collection,composer,title,catalog_key,n_units,year_start,year_end,year_certainty,source,note
kern-art-of-the-fugue-artfugue,kern/art-of-the-fugue,Johann Sebastian Bach,"Contrapunctus 1, a 4.",nan,16,1742.0,1749.0,range,NBA,
kern-art-of-the-fugue-artfugue-016a,kern/art-of-the-fugue,Johann Sebastian Bach,"Contrapunctus 16 (XIII), a 3. (rectus)",nan,1,1742.0,1749.0,range,NBA,
kern-art-of-the-fugue-artfugue-016b,kern/art-of-the-fugue,Johann Sebastian Bach,"Contrapunctus 16 (XIII), a 3. (inversus)",nan,1,1742.0,1749.0,range,NBA,
kern-art-of-the-fugue-artfugue-018a,kern/art-of-the-fugue,Johann Sebastian Bach,"Contrapunctus 18 (XII), a 4. (rectus)",nan,1,1742.0,1749.0,range,NBA,
kern-art-of-the-fugue-artfugue-018b,kern/art-of-the-fugue,Johann Sebastian Bach,"Contrapunctus 18 (XII), a 4. (inversus)",nan,1,1742.0,1749.0,range,NBA,
kern-bach-370-chorales-chor001,kern/bach-370-chorales,Johann Sebastian Bach,chor001,nan,1,1707.0,1750.0,range,corales BG/Riemenschneider; mayoria 1723-50,
kern-bach-370-chorales-chor002,kern/bach-370-chorales,Johann Sebastian Bach,chor002,nan,1,1707.0,1750.0,range,corales BG/Riemenschneider; mayoria 1723-50,
kern-bach-370-chorales-chor003,kern/bach-370-chorales,Johann Sebastian Bach,chor003,nan,1,1707.0,1750.0,range,corales BG/Riemenschneider; mayoria 1723-50,
kern-bach-370-chorales-chor004,kern/bach-370-chorales,Johann Sebastian Bach,chor004,nan,1,1707.0,1750.0,range,corales BG/Riemenschneider; mayoria 1723-50,
kern-bach-370-chorales-chor005,kern/bach-370-chorales,Johann Sebastian Bach,chor005,nan,1,1707.0,1750.0,range,corales BG/Riemenschneider; mayoria 1723-50,
kern-bach-370-chorales-chor006,kern/bach-370-chorales,Johann Sebastian Bach,chor006,nan,1,1707.0,1750.0,range,corales BG/Riemenschneider; mayoria 1723-50,
kern-bach-370-chorales-chor007,kern/bach-370-chorales,Johann Sebastian Bach,chor007,nan,1,1707.0,1750.0,range,corales BG/Riemenschneider; mayoria 1723-50,
kern-bach-370-chorales-chor008,kern/bach-370-chorales,Johann Sebastian Bach,chor008,nan,1,1707.0,1750.0,range,corales BG/Riemenschneider; mayoria 1723-50,
kern-bach-370-chorales-chor009,kern/bach-370-chorales,Johann Sebastian Bach,chor009,nan,1,1707.0,1750.0,range,corales BG/Riemenschneider; mayoria 1723-50,
kern-bach-370-chorales-chor010,kern/bach-370-chorales,Johann Sebastian Bach,chor010,nan,1,1707.0,1750.0,range,corales BG/Riemenschneider; mayoria 1723-50,
kern-bach-370-chorales-chor011,kern/bach-370-chorales,Johann Sebastian Bach,chor011,nan,1,1707.0,1750.0,range,corales BG/Riemenschneider; mayoria 1723-50,
