unit_id,work_id,collection,composer,composer_id,title,movement,composition_year,year_start,year_end,year_source,year_certainty,period,period_source,format,path,license,catalog_key,duplicate_group,is_primary,is_target,in_analysis
kern-beethoven-piano-sonatas-sonata01--sonata01-1,kern-beethoven-piano-sonatas-sonata01,kern/beethoven-piano-sonatas,Ludwig van Beethoven,beethoven_l,Piano Sonata no. 1 in F minor,1,1794,1794,1795,kern_ODT,range,1750–1800,year_midpoint,kern,kern/beethoven-piano-sonatas/kern/sonata01-1.krn,no LICENSE (craigsapp),op2/1,beethoven_l:op2/1,0,0,1
kern-beethoven-piano-sonatas-sonata01--sonata01-2,kern-beethoven-piano-sonatas-sonata01,kern/beethoven-piano-sonatas,Ludwig van Beethoven,beethoven_l,Piano Sonata no. 1 in F minor,2,1795,1795,1795,manual,exact,1750–1800,year,kern,kern/beethoven-piano-sonatas/kern/sonata01-2.krn,no LICENSE (craigsapp),op2/1,beethoven_l:op2/1,0,0,1
kern-beethoven-piano-sonatas-sonata01--sonata01-3,kern-beethoven-piano-sonatas-sonata01,kern/beethoven-piano-sonatas,Ludwig van Beethoven,beethoven_l,Piano Sonata no. 1 in F minor,3,1795,1795,1795,manual,exact,1750–1800,year,kern,kern/beethoven-piano-sonatas/kern/sonata01-3.krn,no LICENSE (craigsapp),op2/1,beethoven_l:op2/1,0,0,1
kern-beethoven-piano-sonatas-sonata01--sonata01-4,kern-beethoven-piano-sonatas-sonata01,kern/beethoven-piano-sonatas,Ludwig van Beethoven,beethoven_l,Piano Sonata no. 1 in F minor,4,1795,1795,1795,manual,exact,1750–1800,year,kern,kern/beethoven-piano-sonatas/kern/sonata01-4.krn,no LICENSE (craigsapp),op2/1,beethoven_l:op2/1,0,0,1
kern-beethoven-piano-sonatas-sonata02--sonata02-1,kern-beethoven-piano-sonatas-sonata02,kern/beethoven-piano-sonatas,Ludwig van Beethoven,beethoven_l,Piano Sonata no. 2 in A major,1,1794,1794,1795,kern_ODT,range,1750–1800,year_midpoint,kern,kern/beethoven-piano-sonatas/kern/sonata02-1.krn,no LICENSE (craigsapp),op2/2,beethoven_l:op2/2,0,0,1
kern-beethoven-piano-sonatas-sonata02--sonata02-2,kern-beethoven-piano-sonatas-sonata02,kern/beethoven-piano-sonatas,Ludwig van Beethoven,beethoven_l,Piano Sonata no. 2 in A major,2,1794,1794,1795,kern_ODT,range,1750–1800,year_midpoint,kern,kern/beethoven-piano-sonatas/kern/sonata02-2.krn,no LICENSE (craigsapp),op2/2,beethoven_l:op2/2,0,0,1
kern-beethoven-piano-sonatas-sonata02--sonata02-3,kern-beethoven-piano-sonatas-sonata02,kern/beethoven-piano-sonatas,Ludwig van Beethoven,beethoven_l,Piano Sonata no. 2 in A major,3,1794,1794,1795,kern_ODT,range,1750–1800,year_midpoint,kern,kern/beethoven-piano-sonatas/kern/sonata02-3.krn,no LICENSE (craigsapp),op2/2,beethoven_l:op2/2,0,0,1
kern-beethoven-piano-sonatas-sonata02--sonata02-4,kern-beethoven-piano-sonatas-sonata02,kern/beethoven-piano-sonatas,Ludwig van Beethoven,beethoven_l,Piano Sonata no. 2 in A major,4,1794,1794,1795,kern_ODT,range,1750–1800,year_midpoint,kern,kern/beethoven-piano-sonatas/kern/sonata02-4.krn,no LICENSE (craigsapp),op2/2,beethoven_l:op2/2,0,0,1
kern-beethoven-piano-sonatas-sonata03--sonata03-1,kern-beethoven-piano-sonatas-sonata03,kern/beethoven-piano-sonatas,Ludwig van Beethoven,beethoven_l,Piano Sonata no. 3 in C major,1,1794,1794,1795,kern_ODT,range,1750–1800,year_midpoint,kern,kern/beethoven-piano-sonatas/kern/sonata03-1.krn,no LICENSE (craigsapp),op2/3,beethoven_l:op2/3,0,0,1
kern-beethoven-piano-sonatas-sonata03--sonata03-2,kern-beethoven-piano-sonatas-sonata03,kern/beethoven-piano-sonatas,Ludwig van Beethoven,beethoven_l,Piano Sonata no. 3 in C major,2,1794,1794,1795,kern_ODT,range,1750–1800,year_midpoint,kern,kern/beethoven-piano-sonatas/kern/sonata03-2.krn,no LICENSE (craigsapp),op2/3,beethoven_l:op2/3,0,0,1
