query,work,composer,hash,n_B,p_q_excl_A,count_excl_A,pred_occurrences,obs_occurrences,pred_works,obs_works
0,dcml_abc-n07op59-1,beethoven_l,7154234861506525088,246,8.975055965359227e-05,121,71.86893163550666,121,56.26576318207192,52
1,dcml_mozart_sonatas-K281,mozart_wa,3670244862319782681,231,9.95616797050983e-06,15,9.415000292641984,15,9.049932197636345,4
2,dcml-beethoven_piano_sonatas-op-22,beethoven_l,4094360367770551381,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
3,kern-humdrum-haydn-quartets-op17n5,haydn_fj,6092250630597275959,216,5.95134655167078e-07,0,1.0768521539959388,0,1.0694009250832588,0
4,osq-5108909,schubert_f,1766574540482285632,288,5.088374895179477e-07,0,0.9900881386985868,0,0.9853763063176227,0
5,dcml_abc-n09op59-3,beethoven_l,236929638794183133,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
6,dcml_abc-n05op18-5,beethoven_l,7971132240624112807,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
7,musedata_mozart-bhl-qrtets-k589,mozart_wa,15094056217641100168,231,6.222604981568644e-07,0,1.0755791371670043,0,1.0674064883778756,0
8,musedata_beethoven-bhl-orch-sym1,beethoven_l,12029846966742145020,246,2.2069809750883344e-06,2,2.2663680711391176,2,2.2423339331661905,2
9,musedata_mozart-bhl-conc-k271,mozart_wa,3968772331688480021,231,0.0004984306590236484,800,525.1231185815504,800,157.8712049139999,110
10,dcml-beethoven_piano_sonatas-op-57,beethoven_l,17001997413025850070,246,0.0003876929912905174,526,354.6201099639785,526,152.78040350059678,53
11,kern-humdrum-haydn-quartets-op33n4,haydn_fj,2225020141683883849,216,5.95134655167078e-07,0,1.0768521539959388,0,1.0694009250832588,0
12,kern-humdrum-haydn-symphonies-sym101,haydn_fj,1267006934118586113,216,2.3210251551516047e-05,38,25.403236569040235,38,22.045143433449695,5
13,musedata_mozart-bhl-conc-k466,mozart_wa,17054964850937280521,231,6.222604981568644e-07,0,1.0755791371670043,0,1.0674064883778756,0
14,musedata_beethoven-bhl-orch-sym7,beethoven_l,7684822917720272153,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
15,dcml_mozart_sonatas-K281,mozart_wa,10446147022491468280,231,3.7335629889411863e-06,5,3.855386188991998,5,3.7904361248031937,2
16,kern-beethoven-piano-sonatas-sonata27,beethoven_l,10803418882132551059,246,0.0009769569116391027,1327,888.73992148272,1327,201.89634380607046,77
17,musedata_mozart-bhl-qrtets-k370,mozart_wa,1701328006742844829,231,6.222604981568644e-07,0,1.0755791371670043,0,1.0674064883778756,0
18,musedata_mozart-bhl-qrtets-k285,mozart_wa,14428872071876781015,231,6.222604981568644e-07,0,1.0755791371670043,0,1.0674064883778756,0
19,kern-humdrum-haydn-quartets-op71n3,haydn_fj,3097293016279630747,216,5.95134655167078e-07,0,1.0768521539959388,0,1.0694009250832588,0
20,kern-humdrum-haydn-symphonies-sym100,haydn_fj,8071657746295554117,216,1.1902693103341561e-05,19,13.00676732619287,19,12.175282375391708,13
21,kern-humdrum-haydn-quartets-op77n2,haydn_fj,9236130745599265207,216,5.95134655167078e-07,0,1.0768521539959388,0,1.0694009250832588,0
22,musedata_mozart-bhl-conc-k622,mozart_wa,2779154325225159215,231,6.222604981568644e-07,0,1.0755791371670043,0,1.0674064883778756,0
23,musedata_beethoven-bhl-conc-violin,beethoven_l,11185099478490614731,246,0.03592523631248791,48833,30208.937728635377,48833,245.55985934389997,179
24,musedata_mozart-bhl-qrtets-k172,mozart_wa,16197786778504066959,231,6.222604981568644e-07,0,1.0755791371670043,0,1.0674064883778756,0
25,dcml-kozeluh_sonatas-op-17-no-1,kozeluch_l,10544949537208031952,297,4.788350135653959e-07,0,0.9526196175171355,0,0.9485794353445447,0
26,musedata_beethoven-bhl-orch-sym8,beethoven_l,14313692609412329530,246,4.7817921126913914e-05,64,41.89847237765104,64,36.27158798612221,19
27,osq-5108729,gossec_fj,1462702675557138893,304,4.727148961918088e-07,0,0.9453578513843517,0,0.9414608738630482,0
28,musedata_mozart-bhl-conc-k450,mozart_wa,5090944420870650516,231,6.222604981568644e-07,0,1.0755791371670043,0,1.0674064883778756,0
29,musedata_beethoven-bhl-orch-sym6,beethoven_l,13721151356651970294,246,4.340395917673724e-05,58,35.13562979446061,58,30.78629885996535,19
30,musedata_mozart-nma-sym-k43,mozart_wa,13841404174617843719,231,0.00039575767682776576,635,414.0591711593524,635,145.49604595995376,91
31,dcml-beethoven_piano_sonatas-op-53,beethoven_l,18305368214151041174,246,3.678301625147224e-06,4,3.1080875610388246,4,3.065949910427557,4
32,musedata_beethoven-bhl-orch-sym9,beethoven_l,8991631641483999918,246,2.2069809750883344e-06,2,2.2663680711391176,2,2.2423339331661905,1
33,musedata_mozart-bhl-conc-k450,mozart_wa,8637212653016503593,231,6.222604981568644e-07,0,1.0755791371670043,0,1.0674064883778756,0
34,dcml-kozeluh_sonatas-op-10-no-1,kozeluch_l,7501484835351352977,297,1.4365050406961878e-06,2,2.487420583270388,2,2.454158056806758,2
35,musedata_beethoven-bhl-orch-sym1,beethoven_l,8264376112919494876,246,0.00014639640468085951,198,136.89677749456135,198,90.48641057629133,72
36,musedata_mozart-bhl-qrtets-k370,mozart_wa,15077813762605514634,231,6.222604981568644e-07,0,1.0755791371670043,0,1.0674064883778756,0
37,kern-humdrum-haydn-quartets-op55n2,haydn_fj,462327935981145403,216,2.0829712930847733e-05,34,22.1377941097825,34,19.939193483698983,15
38,dcml-beethoven_piano_sonatas-op-10-1,beethoven_l,11480388474139142365,246,1.4713206500588897e-06,1,1.9447614109378595,1,1.9302543117240312,1
39,osq-5108909,schubert_f,11770656265712966074,288,1.0176749790358953e-06,1,1.5262529454686256,1,1.5180060017958343,1
40,dcml-beethoven_piano_sonatas-op-27-1,beethoven_l,6684035197061309914,246,0.0003052990348872196,414,285.4495260887426,414,138.22874352227657,106
41,dcml-cpe_bach_keyboard-wq117n13,bach_cpe,11014589826569171688,271,4.826264143367072e-07,0,0.9594203716396555,0,0.9552810958437375,0
42,kern-humdrum-haydn-symphonies-sym102,haydn_fj,18393813864822966287,216,5.95134655167078e-07,0,1.0768521539959388,0,1.0694009250832588,0
43,kern-humdrum-haydn-quartets-op64n3,haydn_fj,15883361305857544597,216,5.95134655167078e-07,0,1.0768521539959388,0,1.0694009250832588,0
