work_id,unit_id,collection,format,status,error,n_parts_raw,n_parts_kept,collapse_ratio,n_events,n_rests,seconds
dcml-bach_en_fr_suites-bwv-806,dcml-bach_en_fr_suites-bwv-806--bwv806-01-prelude,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,776,27,0.0
dcml-bach_en_fr_suites-bwv-806,dcml-bach_en_fr_suites-bwv-806--bwv806-02-allemande,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,833,41,0.0
dcml-bach_en_fr_suites-bwv-806,dcml-bach_en_fr_suites-bwv-806--bwv806-03-courante-i,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,375,21,0.0
dcml-bach_en_fr_suites-bwv-806,dcml-bach_en_fr_suites-bwv-806--bwv806-04-courante-ii,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,396,6,0.0
dcml-bach_en_fr_suites-bwv-806,dcml-bach_en_fr_suites-bwv-806--bwv806-05-double-i,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,469,11,0.0
dcml-bach_en_fr_suites-bwv-806,dcml-bach_en_fr_suites-bwv-806--bwv806-06-double-ii,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,474,13,0.0
dcml-bach_en_fr_suites-bwv-806,dcml-bach_en_fr_suites-bwv-806--bwv806-07-sarabande,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,418,11,0.0
dcml-bach_en_fr_suites-bwv-806,dcml-bach_en_fr_suites-bwv-806--bwv806-08-bouree-i,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,572,14,0.0
dcml-bach_en_fr_suites-bwv-806,dcml-bach_en_fr_suites-bwv-806--bwv806-09-bouree-ii,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,435,0,0.0
dcml-bach_en_fr_suites-bwv-806,dcml-bach_en_fr_suites-bwv-806--bwv806-10-gigue,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,791,2,0.0
dcml-bach_en_fr_suites-bwv-807,dcml-bach_en_fr_suites-bwv-807--bwv807-01-prelude,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,3074,75,0.0
dcml-bach_en_fr_suites-bwv-807,dcml-bach_en_fr_suites-bwv-807--bwv807-02-allemande,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,630,15,0.0
dcml-bach_en_fr_suites-bwv-807,dcml-bach_en_fr_suites-bwv-807--bwv807-03-courante,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,437,7,0.0
dcml-bach_en_fr_suites-bwv-807,dcml-bach_en_fr_suites-bwv-807--bwv807-04-sarabande,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,342,6,0.0
dcml-bach_en_fr_suites-bwv-807,dcml-bach_en_fr_suites-bwv-807--bwv807-04a-agrements-de-la-sarabande,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,421,13,0.0
dcml-bach_en_fr_suites-bwv-807,dcml-bach_en_fr_suites-bwv-807--bwv807-05-bourree-i,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,711,1,0.0
dcml-bach_en_fr_suites-bwv-807,dcml-bach_en_fr_suites-bwv-807--bwv807-06-bourree-ii,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,301,5,0.0
dcml-bach_en_fr_suites-bwv-807,dcml-bach_en_fr_suites-bwv-807--bwv807-07-gigue,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,787,10,0.0
dcml-bach_en_fr_suites-bwv-808,dcml-bach_en_fr_suites-bwv-808--bwv808-01-prelude,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,2107,40,0.0
dcml-bach_en_fr_suites-bwv-808,dcml-bach_en_fr_suites-bwv-808--bwv808-02-allemande,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,592,18,0.0
dcml-bach_en_fr_suites-bwv-808,dcml-bach_en_fr_suites-bwv-808--bwv808-03-courante,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,563,15,0.0
dcml-bach_en_fr_suites-bwv-808,dcml-bach_en_fr_suites-bwv-808--bwv808-04-sarabande,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,233,12,0.0
dcml-bach_en_fr_suites-bwv-808,dcml-bach_en_fr_suites-bwv-808--bwv808-04a-agrements-de-la-sarabande,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,314,19,0.0
dcml-bach_en_fr_suites-bwv-808,dcml-bach_en_fr_suites-bwv-808--bwv808-05-gavotte-i,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,372,8,0.0
dcml-bach_en_fr_suites-bwv-808,dcml-bach_en_fr_suites-bwv-808--bwv808-06-gavotte-ii,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,160,4,0.0
dcml-bach_en_fr_suites-bwv-808,dcml-bach_en_fr_suites-bwv-808--bwv808-07-gigue,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,837,32,0.0
dcml-bach_en_fr_suites-bwv-809,dcml-bach_en_fr_suites-bwv-809--bwv809-01-prelude,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,2805,119,0.1
dcml-bach_en_fr_suites-bwv-809,dcml-bach_en_fr_suites-bwv-809--bwv809-02-allemande,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,705,29,0.0
dcml-bach_en_fr_suites-bwv-809,dcml-bach_en_fr_suites-bwv-809--bwv809-03-courante,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,332,11,0.0
dcml-bach_en_fr_suites-bwv-809,dcml-bach_en_fr_suites-bwv-809--bwv809-04-sarabande,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,299,4,0.0
dcml-bach_en_fr_suites-bwv-809,dcml-bach_en_fr_suites-bwv-809--bwv809-05-menuett-i,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,307,0,0.0
dcml-bach_en_fr_suites-bwv-809,dcml-bach_en_fr_suites-bwv-809--bwv809-06-menuett-ii,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,303,14,0.0
dcml-bach_en_fr_suites-bwv-809,dcml-bach_en_fr_suites-bwv-809--bwv809-07-gigue,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,1020,22,0.0
dcml-bach_en_fr_suites-bwv-810,dcml-bach_en_fr_suites-bwv-810--bwv810-01-prelude,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,3192,132,0.0
dcml-bach_en_fr_suites-bwv-810,dcml-bach_en_fr_suites-bwv-810--bwv810-02-allemande,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,685,29,0.0
dcml-bach_en_fr_suites-bwv-810,dcml-bach_en_fr_suites-bwv-810--bwv810-03-courante,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,485,45,0.0
dcml-bach_en_fr_suites-bwv-810,dcml-bach_en_fr_suites-bwv-810--bwv810-04-sarabande,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,404,20,0.0
dcml-bach_en_fr_suites-bwv-810,dcml-bach_en_fr_suites-bwv-810--bwv810-05-passepied-i,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,697,3,0.0
dcml-bach_en_fr_suites-bwv-810,dcml-bach_en_fr_suites-bwv-810--bwv810-06-passepied-ii,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,207,1,0.0
dcml-bach_en_fr_suites-bwv-810,dcml-bach_en_fr_suites-bwv-810--bwv810-07-gigue,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,856,20,0.0
dcml-bach_en_fr_suites-bwv-811,dcml-bach_en_fr_suites-bwv-811--bwv811-01-prelude,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,4432,179,0.4
dcml-bach_en_fr_suites-bwv-811,dcml-bach_en_fr_suites-bwv-811--bwv811-02-allemande,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,683,51,0.0
dcml-bach_en_fr_suites-bwv-811,dcml-bach_en_fr_suites-bwv-811--bwv811-03-courante,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,607,13,0.0
dcml-bach_en_fr_suites-bwv-811,dcml-bach_en_fr_suites-bwv-811--bwv811-04-sarabande,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,257,1,0.0
dcml-bach_en_fr_suites-bwv-811,dcml-bach_en_fr_suites-bwv-811--bwv811-05-double,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,474,63,0.0
dcml-bach_en_fr_suites-bwv-811,dcml-bach_en_fr_suites-bwv-811--bwv811-06-gavotte-i,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,473,1,0.0
dcml-bach_en_fr_suites-bwv-811,dcml-bach_en_fr_suites-bwv-811--bwv811-07-gavotte-ii,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,339,0,0.0
dcml-bach_en_fr_suites-bwv-811,dcml-bach_en_fr_suites-bwv-811--bwv811-08-gigue,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,1006,198,0.0
dcml-bach_en_fr_suites-bwv-812,dcml-bach_en_fr_suites-bwv-812--bwv812-01-allemande,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,552,34,0.0
dcml-bach_en_fr_suites-bwv-812,dcml-bach_en_fr_suites-bwv-812--bwv812-02-courante,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,445,29,0.0
dcml-bach_en_fr_suites-bwv-812,dcml-bach_en_fr_suites-bwv-812--bwv812-03-sarabande,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,310,7,0.0
dcml-bach_en_fr_suites-bwv-812,dcml-bach_en_fr_suites-bwv-812--bwv812-04-menuett-i,dcml/bach_en_fr_suites,dcml_tsv,ok,,2,2,0.0,251,11,0.0
