pair,label,work_A,work_B,hash,occ_A,occ_B,mov_A,windows_B,DF,E,E_laplace,intervals,rclass,uniform_rhythm
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,15413499312176555783,10,1,1,5517,0.28901734104046245,1.0010652222653706,0.9312392585317947,-2 -2 -1 3 -2 -1 -2,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,18162444463088026958,9,1,1,5517,0.10982658959537572,0.4468616394331171,0.45585138529528413,3 -2 -1 -2 3 -1 -2,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,6221389253287533654,9,1,1,5517,0.1329479768786127,0.570730171503316,0.5274851744131145,-2 -1 -2 3 -1 -2 -2,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,11795067275911018803,4,4,1|3,5517,0.6184971098265896,4.717612983261024,3.301666462067272,-2 -2 -1 -2 -2 -2 -1,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,5294796973630264096,4,3,1|3,5517,0.5780346820809249,4.2674525779074886,2.956521841772272,-2 -1 -2 -2 -2 -1 -2,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,5223179199669527562,2,2,1,5517,0.017341040462427744,0.1204969715801817,0.08465811441198134,-2 -1 -2 -2 -1 1 -3,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,15252033465007485917,3,2,1,5517,0.13872832369942195,0.5490521474049571,0.547021662354341,-1 -2 -2 4 -2 -2 -1,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,11257817376361186834,6,2,1|4,5517,0.19653179190751446,1.0304561305581528,0.4819000358835861,0 0 0 0 0 0 -12,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,3718750081962240730,5,1,1|4,5517,0.12716763005780346,0.6233337176849332,0.2604865058830195,0 0 0 0 0 -12 0,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,11005019458472308745,1,4,1,5517,0.04046242774566474,0.14567424673253535,0.10419460235320781,4 -9 5 -8 3 -7 4,0 0 0 0 0 0 0,1
